MIMAT0000884	rno-miR-213;rno-miR-181a*;rno-miR-181a-1*;rno-miR-181a-1-3p;
MIMAT0000885	rno-miR-214;rno-miR-214-3p;
MIMAT0000886	rno-miR-216;rno-miR-216a;rno-miR-216a-5p;
MIMAT0000887	rno-miR-217;rno-miR-217-5p;
MIMAT0000888	rno-miR-218;rno-miR-218a;rno-miR-218a-5p;
MIMAT0000889	rno-miR-219;rno-miR-219-5p;rno-miR-219a-5p;
MIMAT0000890	rno-miR-221;rno-miR-221-3p;
MIMAT0000891	rno-miR-222;rno-miR-222-3p;
MIMAT0000892	rno-miR-223;rno-miR-223-3p;
MIMAT0000893	rno-miR-290;
MIMAT0000894	rno-miR-291-5p;rno-miR-291a-5p;
MIMAT0000895	rno-miR-291-3p;rno-miR-291a-3p;
MIMAT0000896	rno-miR-292-5p;
MIMAT0000897	rno-miR-292-3p;
MIMAT0000898	rno-miR-296;rno-miR-296*;rno-miR-296-5p;
MIMAT0000899	rno-miR-297;
MIMAT0000900	rno-miR-298;rno-miR-298-5p;
MIMAT0000901	rno-miR-299;rno-miR-299a-5p;
MIMAT0000902	rno-miR-300;rno-miR-300-3p;
